Airline,Airline Code,Model,Manufacturer,Type,Country
Aegean Airlines,A3,A320,Airbus,P,Greece
Aegean Airlines,A3,A321,Airbus,P,Greece
Aegean Airlines,A3,A20N,Airbus,P,Greece
Aegean Airlines,A3,A21N,Airbus,P,Greece
Aer Lingus,EI,A320,Airbus,P,Ireland
Aer Lingus,EI,A20N,Airbus,P,Ireland
Aer Lingus,EI,A21N,Airbus,P,Ireland
Aer Lingus,EI,A332,Airbus,P,Ireland
Aer Lingus,EI,A333,Airbus,P,Ireland
Aerolineas Argentinas,AR,A332,Airbus,P,Argentina
Aerolineas Argentinas,AR,B737,Boeing,P,Argentina
Aerolineas Argentinas,AR,B738,Boeing,P,Argentina
Aerolineas Argentinas,AR,B38M,Boeing,P,Argentina
Aerolineas Argentinas,AR,E190,Embraer,P,Argentina
Aerolineas Argentinas,AR,E195,Embraer,P,Argentina
Aeromexico,AM,B738,Boeing,P,Mexico
Aeromexico,AM,B38M,Boeing,P,Mexico
Aeromexico,AM,B39M,Boeing,P,Mexico
Aeromexico,AM,B788,Boeing,P,Mexico
Aeromexico,AM,B789,Boeing,P,Mexico
Air Algerie,AH,A332,Airbus,P,Algeria
Air Algerie,AH,A339,Airbus,P,Algeria
Air Algerie,AH,A35K,Airbus,P,Algeria
Air Algerie,AH,AT75,ATR,P,Algeria
Air Algerie,AH,B736,Boeing,P,Algeria
Air Algerie,AH,B737,Boeing,P,Algeria
Air Algerie,AH,B738,Boeing,P,Algeria
Air Algerie,AH,B39M,Boeing,P,Algeria
Air Algerie,AH,B738,Boeing,F,Algeria
Air Algerie,AH,C130,Lockheed,F,Algeria
AirAsia,AK,A320,Airbus,P,Malaysia
AirAsia,AK,A20N,Airbus,P,Malaysia
AirAsia,AK,A21N,Airbus,P,Malaysia
AirAsia,AK,A321,Airbus,F,Malaysia
Air Astana,KC,A20N,Airbus,P,Kazakhstan
Air Astana,KC,A321,Airbus,P,Kazakhstan
Air Astana,KC,A21N,Airbus,P,Kazakhstan
Air Astana,KC,B763,Boeing,P,Kazakhstan
Air Astana,KC,E190,Embraer,P,Kazakhstan
Air Austral,UU,BCS3,Airbus,P,France
Air Austral,UU,B77W,Boeing,P,France
Air Austral,UU,B788,Boeing,P,France
airBaltic,BT,BCS3,Airbus,P,Latvia
Air Belgium,KF,A332,Airbus,P,Belgium
Air Belgium,KF,A339,Airbus,P,Belgium
Air Belgium,KF,A332,Airbus,F,Belgium
Air Belgium,KF,B748,Boeing,F,Belgium
Air Belgium,KF,B77W,Boeing,F,Belgium
Air Canada,AC,BCS3,Airbus,P,Canada
Air Canada,AC,A319,Airbus,P,Canada
Air Canada,AC,A320,Airbus,P,Canada
Air Canada,AC,A321,Airbus,P,Canada
Air Canada,AC,A333,Airbus,P,Canada
Air Canada,AC,B38M,Boeing,P,Canada
Air Canada,AC,B77L,Boeing,P,Canada
Air Canada,AC,B77W,Boeing,P,Canada
Air Canada,AC,B788,Boeing,P,Canada
Air Canada,AC,B789,Boeing,P,Canada
Air Caraibes,TX,A332,Airbus,P,France
Air Caraibes,TX,A333,Airbus,P,France
Air Caraibes,TX,A359,Airbus,P,France
Air Caraibes,TX,A35K,Airbus,P,France
Air Caraibes,TX,AT76,ATR,P,France
Air Caraibes,TX,AT75,ATR,P,France
Air China,CA,A319,Airbus,P,China
Air China,CA,A320,Airbus,P,China
Air China,CA,A20N,Airbus,P,China
Air China,CA,A321,Airbus,P,China
Air China,CA,A21N,Airbus,P,China
Air China,CA,A332,Airbus,P,China
Air China,CA,A333,Airbus,P,China
Air China,CA,A359,Airbus,P,China
Air China,CA,B737,Boeing,P,China
Air China,CA,B738,Boeing,P,China
Air China,CA,B78M,Boeing,P,China
Air China,CA,B744,Boeing,P,China
Air China,CA,B748,Boeing,P,China
Air China,CA,B77W,Boeing,P,China
Air China,CA,B789,Boeing,P,China
Air China,CA,AJ27,Comac,P,China
Air China,CA,A332,Airbus,F,China
Air China,CA,B744,Boeing,F,China
Air China,CA,B752,Boeing,F,China
Air China,CA,B77L,Boeing,F,China
Air Dolomiti,EN,E190,Embraer,P,Italy
Air Dolomiti,EN,E195,Embraer,P,Italy
Air Europa,UX,B738,Boeing,P,Spain
Air Europa,UX,B788,Boeing,P,Spain
Air Europa,UX,B789,Boeing,P,Spain
Air France,AF,BCS3,Airbus,P,France
Air France,AF,A318,Airbus,P,France
Air France,AF,A319,Airbus,P,France
Air France,AF,A320,Airbus,P,France
Air France,AF,A321,Airbus,P,France
Air France,AF,A332,Airbus,P,France
Air France,AF,A359,Airbus,P,France
Air France,AF,B772,Boeing,P,France
Air France,AF,B77W,Boeing,P,France
Air France,AF,B789,Boeing,P,France
Air France,AF,B77L,Boeing,F,France
Air India,AI,A319,Airbus,P,India
Air India,AI,A320,Airbus,P,India
Air India,AI,A20N,Airbus,P,India
Air India,AI,A321,Airbus,P,India
Air India,AI,A21N,Airbus,P,India
Air India,AI,A359,Airbus,P,India
Air India,AI,B77L,Boeing,P,India
Air India,AI,B77W,Boeing,P,India
Air India,AI,B788,Boeing,P,India
Air India,AI,B789,Boeing,P,India
Air Japan,NQ,B788,Boeing,P,Japan
Airlink,4Z,E135,Embraer,P,South Africa
Airlink,4Z,E140,Embraer,P,South Africa
Airlink,4Z,E170,Embraer,P,South Africa
Airlink,4Z,E175,Embraer,P,South Africa
Airlink,4Z,E190,Embraer,P,South Africa
Airlink,4Z,E195,Embraer,P,South Africa
Air Macau,NX,A320,Airbus,P,Macao
Air Macau,NX,A20N,Airbus,P,Macao
Air Macau,NX,A321,Airbus,P,Macao
Air Macau,NX,A21N,Airbus,P,Macao
Air Macau,NX,A333,Airbus,P,Macao
Air Mauritius,MK,A332,Airbus,P,Mauritius
Air Mauritius,MK,A339,Airbus,P,Mauritius
Air Mauritius,MK,A359,Airbus,P,Mauritius
Air Mauritius,MK,AT75,ATR,P,Mauritius
Air Mauritius,MK,AT76,ATR,P,Mauritius
Air New Zealand,NZ,A320,Airbus,P,New Zealand
Air New Zealand,NZ,A20N,Airbus,P,New Zealand
Air New Zealand,NZ,A21N,Airbus,P,New Zealand
Air New Zealand,NZ,AT76,ATR,P,New Zealand
Air New Zealand,NZ,B77W,Boeing,P,New Zealand
Air New Zealand,NZ,B789,Boeing,P,New Zealand
Air New Zealand,NZ,DH8C,De Havilland,P,New Zealand
Air Serbia,JU,A319,Airbus,P,Serbia
Air Serbia,JU,A320,Airbus,P,Serbia
Air Serbia,JU,A332,Airbus,P,Serbia
Air Serbia,JU,B738,Boeing,P,Serbia
Air Serbia,JU,AT76,ATR,P,Serbia
Air Serbia,JU,E190,Embraer,P,Serbia
Air Serbia,JU,E195,Embraer,P,Serbia
Air Tahiti Nui,TN,B789,Boeing,P,France
Air Transat,TS,A321,Airbus,P,Canada
Air Transat,TS,A21N,Airbus,P,Canada
Air Transat,TS,A332,Airbus,P,Canada
Air Transat,TS,A333,Airbus,P,Canada
Alaska Airlines,AS,B737,Boeing,P,United States
Alaska Airlines,AS,B738,Boeing,P,United States
Alaska Airlines,AS,B739,Boeing,P,United States
Alaska Airlines,AS,B38M,Boeing,P,United States
Alaska Airlines,AS,B39M,Boeing,P,United States
Alaska Airlines,AS,E175,Embraer,P,United States
Alaska Airlines,AS,B737,Boeing,F,United States
Alaska Airlines,AS,B738,Boeing,F,United States
Allegiant,G4,A319,Airbus,P,United States
Allegiant,G4,A320,Airbus,P,United States
American Airlines,AA,A319,Airbus,P,United States
American Airlines,AA,A320,Airbus,P,United States
American Airlines,AA,A321,Airbus,P,United States
American Airlines,AA,A21N,Airbus,P,United States
American Airlines,AA,B738,Boeing,P,United States
American Airlines,AA,B38M,Boeing,P,United States
American Airlines,AA,B772,Boeing,P,United States
American Airlines,AA,B77W,Boeing,P,United States
American Airlines,AA,B788,Boeing,P,United States
American Airlines,AA,B789,Boeing,P,United States
American Airlines,AA,E145,Embraer,P,United States
American Airlines,AA,E170,Embraer,P,United States
American Airlines,AA,E175,Embraer,P,United States
American Airlines,AA,CRJ2,Bombardier,P,United States
American Airlines,AA,CRJ7,Bombardier,P,United States
American Airlines,AA,CRJ9,Bombardier,P,United States
ANA,NH,A20N,Airbus,P,Japan
ANA,NH,A321,Airbus,P,Japan
ANA,NH,A21N,Airbus,P,Japan
ANA,NH,A388,Airbus,P,Japan
ANA,NH,B738,Boeing,P,Japan
